month,day,mean_temp_gw,hdd_10yr,cdd_10yr
10,14,56.803123359580056,8.2,0.0
10,15,56.306482939632545,8.69,0.0
10,16,54.03123359580053,10.97,0.0
10,17,53.50102362204724,11.5,0.0
10,18,54.060918635170594,10.94,0.0
10,19,54.88708661417322,10.11,0.0
10,20,56.105905511811024,8.89,0.0
10,21,56.349632545931755,8.65,0.0
10,22,55.506745406824145,9.49,0.0
10,23,55.21942257217847,9.78,0.0
10,24,53.31611548556431,11.68,0.0
10,25,52.44343832020998,12.56,0.0
10,26,51.99517060367454,13.0,0.0
10,27,51.48881889763779,13.51,0.0
10,28,51.085459317585304,13.91,0.0
10,29,52.02514435695538,12.97,0.0
10,30,51.57782152230972,13.42,0.0
10,31,50.482283464566926,14.52,0.0
11,1,49.051207349081366,15.95,0.0
11,2,48.968818897637796,16.03,0.0
11,3,49.54522309711287,15.45,0.0
11,4,50.398320209973754,14.6,0.0
11,5,52.687296587926504,12.31,0.0
11,6,52.36740157480315,12.63,0.0
11,7,50.53622047244094,14.46,0.0
11,8,48.04910761154856,16.95,0.0
11,9,47.28272965879265,17.72,0.0
11,10,46.242257217847765,18.76,0.0
11,11,44.81406824146982,20.19,0.0
11,12,42.23968503937008,22.76,0.0
11,13,40.346272965879265,24.65,0.0
11,14,40.92784776902887,24.07,0.0
11,15,43.01850393700787,21.98,0.0
11,16,43.67855643044619,21.32,0.0
11,17,43.355511811023625,21.64,0.0
11,18,42.930603674540684,22.07,0.0
11,19,41.688818897637795,23.31,0.0
11,20,40.47577427821522,24.52,0.0
11,21,40.961181102362204,24.04,0.0
11,22,39.498871391076115,25.5,0.0
11,23,39.144146981627294,25.86,0.0
11,24,41.471286089238845,23.53,0.0
11,25,43.12047244094488,21.88,0.0
11,26,41.73829396325459,23.26,0.0
11,27,39.896955380577424,25.1,0.0
11,28,38.144645669291336,26.86,0.0
11,29,38.353779527559055,26.65,0.0
11,30,38.65291338582677,26.35,0.0
12,1,37.487375328083985,27.51,0.0
12,2,38.8253280839895,26.17,0.0
12,3,37.8940157480315,27.11,0.0
12,4,36.43876640419948,28.56,0.0
12,5,35.54821522309711,29.45,0.0
12,6,35.64879265091863,29.35,0.0
12,7,33.94328083989501,31.06,0.0
12,8,34.42950131233595,30.57,0.0
12,9,35.97325459317585,29.03,0.0
12,10,36.257401574803154,28.74,0.0
12,11,35.183412073490814,29.82,0.0
12,12,33.35291338582677,31.65,0.0
12,13,32.54094488188976,32.46,0.0
12,14,32.42866141732283,32.57,0.0
12,15,32.82997375328084,32.17,0.0
12,16,35.1703937007874,29.83,0.0
12,17,36.21102362204724,28.79,0.0
12,18,34.00186351706036,31.0,0.0
12,19,31.45083989501312,33.55,0.0
12,20,32.266666666666666,32.73,0.0
12,21,33.15981627296588,31.84,0.0
12,22,33.88997375328084,31.11,0.0
12,23,34.36141732283464,30.64,0.0
12,24,34.64068241469816,30.36,0.0
12,25,34.32044619422572,30.68,0.0
12,26,33.97275590551181,31.03,0.0
12,27,34.69094488188976,30.31,0.0
12,28,37.043044619422574,27.96,0.0
12,29,36.4453280839895,28.55,0.0
12,30,34.54679790026246,30.45,0.0
12,31,34.30732283464567,30.69,0.0
