date,iso,natural_gas_mw,wind_mw,solar_mw,coal_mw,nuclear_mw,load_mw,total_thermal_mw,gas_pct_thermal,gas_pct_load,wind_30d_avg_mw,wind_anomaly_mw,gas_burn_impact
2026-03-24,NATIONAL,89172,30500,7552,32003.0,31935,218058,153110.0,58.2,40.9,53098,-22598,BULLISH (Wind Drought)
2026-03-24,NYISO,9335,544,0,0.0,2038,18485,,,,965,-421,NEUTRAL
2026-03-24,PJM,43082,3723,152,14190.0,30178,96464,,,,5060,-1337,BULLISH (Wind Drought)
2026-03-24,SPP,9200,14606,138,6142.0,2027,31998,,,,15228,-623,NEUTRAL
2026-03-25,CAISO,3973,2960,4678,0.0,2264,28696,,,,1895,1065,NEUTRAL
2026-03-25,ERCOT,21390,18686,3592,7921.0,3744,58971,,,,16913,1772,BEARISH (Strong Wind)
2026-03-25,ISONE,6422,718,3,3.0,3630,14308,,,,821,-103,NEUTRAL
2026-03-25,MISO,30586,12054,598,18997.0,7089,71690,,,,14480,-2426,BULLISH (Wind Drought)
2026-03-25,NATIONAL,78189,39467,7876,31993.0,31891,217654,142073.0,55.0,35.9,53051,-13584,BULLISH (Wind Drought)
2026-03-25,NYISO,8688,934,0,0.0,1998,17857,,,,960,-26,NEUTRAL
2026-03-25,PJM,41166,1577,100,15316.0,30144,94758,,,,5119,-3543,BULLISH (Wind Drought)
2026-03-25,SPP,6906,17787,204,5617.0,2027,32342,,,,15127,2660,BEARISH (Strong Wind)
2026-03-26,CAISO,3063,4701,4299,0.0,2269,28321,,,,1889,2812,BEARISH (Strong Wind)
2026-03-26,ERCOT,19503,24295,3525,7348.0,3743,61458,,,,17266,7029,BEARISH (Strong Wind)
2026-03-26,ISONE,6571,577,3,0.0,3611,13824,,,,838,-261,NEUTRAL
2026-03-26,MISO,32297,9309,762,18800.0,7061,72438,,,,14275,-4966,BULLISH (Wind Drought)
2026-03-26,NATIONAL,73642,46101,7583,30802.0,31759,219845,136203.0,54.1,33.5,53409,-7309,BULLISH (Wind Drought)
2026-03-26,NYISO,8306,804,0,0.0,1852,17220,,,,958,-153,NEUTRAL
2026-03-26,PJM,35255,6829,131,14196.0,30106,90934,,,,5130,1699,BEARISH (Strong Wind)
2026-03-26,SPP,6906,17787,204,5617.0,2027,36655,,,,15358,2428,BEARISH (Strong Wind)
2026-03-27,CAISO,3994,1486,4618,0.0,2279,28166,,,,1994,-508,NEUTRAL
2026-03-27,ERCOT,18507,25745,3300,6995.0,3742,61040,,,,17507,8238,BEARISH (Strong Wind)
2026-03-27,ISONE,5651,905,4,0.0,3645,13112,,,,884,21,NEUTRAL
2026-03-27,MISO,28650,22719,505,14850.0,7057,75378,,,,14293,8426,BEARISH (Strong Wind)
2026-03-27,NATIONAL,69660,57982,7574,26752.0,31776,220818,128188.0,54.3,31.5,54186,3795,NEUTRAL
2026-03-27,NYISO,8592,409,0,0.0,2012,16603,,,,933,-524,NEUTRAL
2026-03-27,PJM,33969,8472,168,13752.0,29935,90884,,,,5200,3272,BEARISH (Strong Wind)
2026-03-27,SPP,6206,22802,195,4606.0,2023,36817,,,,15748,7054,BEARISH (Strong Wind)
2026-03-28,CAISO,5299,2396,3965,0.0,2271,26885,,,,1951,445,NEUTRAL
2026-03-28,ERCOT,18181,24001,1208,6718.0,3739,54770,,,,17682,6319,BEARISH (Strong Wind)
2026-03-28,ISONE,6304,698,0,,3631,13829,,,,880,-183,NEUTRAL
2026-03-28,MISO,31978,14872,743,13510.0,7348,72710,,,,14679,192,NEUTRAL
2026-03-28,NATIONAL,75775,47478,5481,25534.0,32075,210236,133384.0,56.8,36.0,55309,-7831,BULLISH (Wind Drought)
2026-03-28,NYISO,9494,224,0,0.0,2006,17127,,,,930,-707,NEUTRAL
2026-03-28,PJM,37429,6894,149,13357.0,30128,91418,,,,5277,1617,BEARISH (Strong Wind)
2026-03-28,SPP,5924,17990,52,4834.0,2026,31312,,,,16358,1632,BEARISH (Strong Wind)
2026-03-29,CAISO,4191,3437,3853,0.0,2273,25458,,,,1906,1532,BEARISH (Strong Wind)
2026-03-29,ERCOT,19403,11823,3128,7032.0,3744,49085,,,,17721,-5898,BULLISH (Wind Drought)
2026-03-29,ISONE,7143,432,2,,3631,14115,,,,856,-424,NEUTRAL
2026-03-29,MISO,25014,19765,1050,11930.0,7331,66302,,,,14778,4987,BEARISH (Strong Wind)
2026-03-29,NATIONAL,69643,43776,7186,22645.0,32025,198808,124313.0,56.0,35.0,55598,-11823,BULLISH (Wind Drought)
2026-03-29,NYISO,8376,986,0,0.0,1990,17318,,,,954,32,NEUTRAL
2026-03-29,PJM,38153,3698,326,12300.0,30067,90316,,,,5291,-1594,BULLISH (Wind Drought)
2026-03-29,SPP,4278,20793,226,2901.0,2027,29905,,,,16578,4215,BEARISH (Strong Wind)
2026-03-30,CAISO,3881,2570,4418,0.0,2272,26742,,,,1931,640,NEUTRAL
2026-03-30,ERCOT,15376,24747,3185,6470.0,3744,56099,,,,17559,7188,BEARISH (Strong Wind)
2026-03-30,ISONE,5736,1003,3,,3611,13566,,,,805,198,NEUTRAL
2026-03-30,MISO,28330,14044,687,12712.0,8026,67138,,,,15312,-1268,BULLISH (Wind Drought)
2026-03-30,NATIONAL,67264,47403,7452,23578.0,32400,204032,123242.0,54.6,33.0,56169,-8766,BULLISH (Wind Drought)
2026-03-30,NYISO,7744,926,0,0.0,1982,16342,,,,949,-22,NEUTRAL
2026-03-30,PJM,34844,4680,132,11695.0,29888,85694,,,,5416,-735,NEUTRAL
2026-03-30,SPP,6370,18688,268,4472.0,2025,32486,,,,16649,2039,BEARISH (Strong Wind)
2026-03-31,CAISO,4506,2470,1889,0.0,2269,26640,,,,1950,521,NEUTRAL
2026-03-31,ERCOT,18044,25774,2981,6405.0,3743,60113,,,,17930,7845,BEARISH (Strong Wind)
2026-03-31,ISONE,4837,1468,2,,3578,12991,,,,828,640,NEUTRAL
2026-03-31,MISO,29967,16395,740,15606.0,8237,74179,,,,15705,691,NEUTRAL
2026-03-31,NATIONAL,70747,52314,4845,25313.0,32072,216101,128132.0,55.2,32.7,57245,-4932,BULLISH (Wind Drought)
2026-03-31,NYISO,6558,1170,0,0.0,1970,16141,,,,996,174,NEUTRAL
2026-03-31,PJM,36552,8516,185,11193.0,29102,88957,,,,5612,2904,BEARISH (Strong Wind)
2026-03-31,SPP,6370,18688,268,4472.0,2025,36481,,,,16699,1988,BEARISH (Strong Wind)
2026-04-01,CAISO,8294,2370,541,0.0,2267,26263,,,,1991,379,NEUTRAL
2026-04-01,ERCOT,19483,24648,2789,7204.0,3744,61465,,,,18052,6596,BEARISH (Strong Wind)
2026-04-01,ISONE,5983,710,16,,3560,13253,,,,847,-137,NEUTRAL
2026-04-01,MISO,28499,19825,784,15528.0,8118,74742,,,,16247,3578,BEARISH (Strong Wind)
2026-04-01,NATIONAL,78479,52350,3483,27625.0,32215,218638,138319.0,56.7,35.9,58393,-6043,BULLISH (Wind Drought)
